[2025-10-26 07:55:23] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:25] User: staff (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:39] User: staff (staff) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:39] User: staff (staff) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:43] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:43] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:46] User: staff (staff) | Page: add_room | Status: DENIED | IP: ::1
[2025-10-26 07:55:53] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:53] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 09:58:03] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 09:58:05] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:00:29] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 10:00:33] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:01:08] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-26 10:01:22] User: admin (admin) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-26 10:21:31] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 10:21:34] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:23:14] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:23:42] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:24:01] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:24:29] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:25:40] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:26:51] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:26:53] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:27:41] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:28:35] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:28:36] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:29:31] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:29:40] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:30:03] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:30:20] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:31:38] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:32:36] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:32:53] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:36:17] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:36:44] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:37:31] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:52:52] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 10:57:03] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 11:07:44] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 11:10:06] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 11:11:42] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 11:13:50] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 11:16:11] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 11:16:17] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 11:16:28] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 11:33:05] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 11:38:47] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 11:50:41] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 11:52:16] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 11:54:23] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 12:12:23] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 12:14:26] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 12:15:48] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 12:15:50] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 13:36:01] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-26 13:41:11] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-27 08:33:09] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-27 08:33:13] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-27 08:33:28] User: admin (admin) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-27 08:37:37] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-27 08:37:40] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-27 08:37:48] User: admin (admin) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-27 08:38:44] User: admin (admin) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-27 08:39:35] User: admin (admin) | Page: profit | Status: ALLOWED | IP: ::1
[2025-10-27 08:39:39] User: admin (admin) | Page: profit | Status: ALLOWED | IP: ::1
[2025-10-27 08:39:41] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-27 08:40:22] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-27 08:40:37] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-27 08:41:04] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-27 08:41:06] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:41:45] User: admin (admin) | Page: user_management | Status: ALLOWED | IP: ::1
[2025-10-27 08:42:26] User: admin (admin) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-27 08:42:31] User: admin (admin) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-27 08:43:14] User: admin (admin) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-27 08:43:16] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-27 08:43:58] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-27 08:44:02] User: admin (admin) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-27 08:44:36] User: admin (admin) | Page: payment | Status: ALLOWED | IP: ::1
[2025-10-27 08:44:40] User: admin (admin) | Page: payment | Status: ALLOWED | IP: ::1
[2025-10-27 08:44:43] User: admin (admin) | Page: profit | Status: ALLOWED | IP: ::1
[2025-10-27 08:44:45] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-27 08:44:47] User: admin (admin) | Page: profit | Status: ALLOWED | IP: ::1
[2025-10-27 08:44:49] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-27 08:44:50] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:11] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:14] User: admin (admin) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:16] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:16] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:16] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:16] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:16] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:16] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:17] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:17] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:17] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:17] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-27 08:46:18] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
